Epoch,Loss (t),Loss (v),Accuracy (t),Accuracy (v),Time
0,0.8647862019826407,0.49197425378056675,0.743479855923159,0.8631810897435898,7.786409854888916
1,0.4377184419106521,0.3844152408389327,0.877584711846318,0.8984375,7.597261428833008
2,0.37215973263489144,0.3665441853734545,0.8956943703308431,0.9024439102564102,7.5886805057525635
3,0.3416085737014911,0.34531230840067834,0.9030649679829242,0.9072516025641025,7.636564016342163
4,0.321181690179233,0.3204389915515024,0.9089514407684098,0.9154647435897436,7.504342079162598
5,0.30831405046528154,0.31910905830609876,0.9128034951974386,0.9162660256410257,7.4565651416778564
6,0.29735974079294164,0.3131676059789382,0.915554962646745,0.9160657051282052,7.451392412185669
7,0.2878767216106998,0.315309167923167,0.9175893810032018,0.9126602564102564,7.4363672733306885
8,0.2838187030135885,0.30913723768809664,0.918990128068303,0.9194711538461539,7.512421607971191
9,0.2775963916579458,0.30274092813786596,0.9205743062966916,0.9206730769230769,7.43493914604187
Mean,,,,,7.540494346618653
Params: 11910,,,,,
---,---,---,---,---,---
