Epoch,Loss (t),Loss (v),Accuracy (t),Accuracy (v),Time,,
0,0.382387217289292,0.236462875275323,0.890091382070438,0.938000801282051,7.19822025299072,,"28*28, 128, 10"
1,0.198573852834573,0.160461568064653,0.942536019210245,0.958333333333333,6.48401093482971,,
2,0.145795589042559,0.140239240338978,0.957677427961579,0.962940705128205,6.5129075050354,,
3,0.118331678064586,0.136343724816703,0.965848452508004,0.965645032051282,6.25384998321533,,
4,0.10012425998526,0.116545809573906,0.970767742796158,0.96875,6.43821120262146,,
5,0.0873957490558431,0.102223359335114,0.974703175026681,0.975260416666667,6.33311462402344,,
6,0.0766246477305977,0.10058469138144,0.977404615795091,0.975460737179487,6.61593437194824,,
7,0.0724355083631338,0.0994805363335241,0.978388473852721,0.976362179487179,6.3492431640625,,
8,0.0640711974446526,0.105432804218883,0.980622998932764,0.974859775641026,6.58903789520264,,
9,0.0610761805776688,0.0841828023309436,0.981773612593383,0.982672275641026,6.45248675346375,,
Mean,,,,,6.52270166873932,,
Params: 101770,,,,,,,
---,---,---,---,---,---,,
0,0.439112592190345,0.279265414350308,0.876667556029883,0.926282051282051,6.59972620010376,,"28*28, 64, 10"
1,0.252754061436131,0.210288480443593,0.927194503735326,0.943609775641026,6.47110390663147,,
2,0.193921611921637,0.179672561129197,0.944136872998933,0.952724358974359,6.17341113090515,,
3,0.15838370948688,0.154039720440498,0.954325640341515,0.961939102564103,6.23803114891052,,
4,0.134503933115044,0.126405250866157,0.961162620064034,0.967548076923077,6.40994262695313,,
5,0.122819962225489,0.12459348163863,0.964097518676627,0.969050480769231,6.33060526847839,,
6,0.110904980461802,0.121443790055286,0.967349252934899,0.970252403846154,6.45792436599731,,
7,0.100736928114761,0.123346439908253,0.970434231590181,0.971854967948718,6.4841480255127,,
8,0.0944307154678643,0.106862080673007,0.971418089647812,0.977063301282051,6.30474972724915,,
9,0.0897636121156821,0.11068267395193,0.972718783351121,0.974258814102564,6.34112310409546,,
Mean,,,,,6.3810765504837,,
Params: 50890,,,,,,,
---,---,---,---,---,---,,
0,1.04388101521398,0.748029713638318,0.658084311632871,0.778846153846154,6.66505694389343,,"28*28, 10, 10"
1,0.680376724601428,0.607568719734748,0.799042822838847,0.829427083333333,6.74172139167786,,
2,0.601087244130122,0.591011583136442,0.824206243329776,0.826822916666667,6.62721920013428,,
3,0.567376021514453,0.538082099782351,0.831726921024546,0.846754807692308,6.46191215515137,,
4,0.54820675341653,0.541998126758979,0.838530549626467,0.841245993589744,6.54917526245117,,
5,0.53484804591158,0.514862193129001,0.843583244397012,0.853265224358974,6.31535315513611,,
6,0.524889180538112,0.509318783497199,0.84645144076841,0.855769230769231,6.63090920448303,,
7,0.514769382178465,0.513931637582106,0.850053361792956,0.856670673076923,6.55279278755188,,
8,0.508417713333601,0.524949553207709,0.852237860192103,0.844951923076923,6.49644446372986,,
9,0.499802066778551,0.486857446722495,0.855889807897545,0.864783653846154,6.6088809967041,,
Mean,,,,,6.56494655609131,,
Params: 7960,,,,,,,
---,---,---,---,---,---,,
0,1.02057726953175,0.658389319307529,0.662419957310566,0.807892628205128,6.64254426956177,,"28*28, 10, 10, 10"
1,0.602551989805991,0.549277598563677,0.824256270010672,0.843349358974359,6.7816436290741,,
2,0.514666808993738,0.465194613505632,0.850036686232657,0.867788461538462,6.48969745635986,,
3,0.435453324205975,0.422348485781978,0.873932764140875,0.881810897435897,6.56756401062012,,
4,0.391075272315849,0.376803756166154,0.887056430096051,0.895232371794872,6.76582765579224,,
5,0.36900966365602,0.357455102726817,0.894060165421558,0.899939903846154,6.33186531066895,,
6,0.357273126098555,0.342908471022756,0.897845517609392,0.908653846153846,6.37843990325928,,
7,0.34862076774987,0.339461961856637,0.900530282817503,0.909555288461538,6.35736775398254,,
8,0.340543268918355,0.329690498061096,0.902197838847385,0.911458333333333,6.37771677970886,,
9,0.332111375332833,0.327635544507454,0.905916488794023,0.91025641025641,6.70804738998413,,
Mean,,,,,6.54007141590118,,
Params: 8070,,,,,,,
---,---,---,---,---,---,,
0,1.57135760090776,1.28938744962215,0.416205309498399,0.541967147435897,6.5521514415741,,"28*28, 5, 5, 10"
1,1.19636150841525,1.11892346579295,0.580009338313767,0.62479967948718,6.7085657119751,,
2,1.0877429791423,1.05776591866444,0.624132870864461,0.641826923076923,6.35076260566711,,
3,1.04084519121156,1.02607818903067,0.641041889007471,0.654146634615385,6.60731029510498,,
4,1.01402904180732,1.04396621882916,0.652764807897545,0.643329326923077,6.70663285255432,,
5,0.9945435149947,0.999820256462464,0.663320437566702,0.673778044871795,6.72244000434876,,
6,0.984447720465563,1.00222978568994,0.665238127001067,0.661358173076923,6.71712255477905,,
7,0.974306903055918,1.00584839972166,0.669923959445037,0.667467948717949,6.44784045219421,,
8,0.969123409868177,0.982946789799592,0.672208511205976,0.674779647435897,6.29599475860596,,
9,0.962102551088771,0.973165571307525,0.674826574172892,0.678585737179487,6.45240426063538,,
Mean,,,,,6.5561224937439,,
Params: 4015,,,,,,,
---,---,---,---,---,---,,
